"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-02",,"59","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-03",,"57","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-04",,"59","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-05",,"66","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-06",,"68","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-07",,"65","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-08",,"59","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-09",,"56","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-10",,"57","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-11",,"57","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-12",,"56","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-13",,"57","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-14",,"55","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-15",,"55","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-16",,"54","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-17",,"62","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-18",,"62","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-19",,"54","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-20",,"59","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-21",,"61","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-22",,"68","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-23",,"77","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-24",,"70","48"
